1,x1,x1^2,x1^3,x1^4,x1^5,x1^6,y
0.0,-1.7500226047679233,-1.600842787513591,-1.4644655608323072,-1.3414239354347115,-1.231666162695986,-1.134653479814146,0.009195068571428568
0.0,-1.7450387027847154,-1.5970994274914998,-1.4616982638469167,-1.339408700208451,-1.230219009830411,-1.1336275850489546,-0.25207676964285713
0.0,-1.7400548008015075,-1.593352557520958,-1.458925774936246,-1.3373877909312775,-1.228766421656084,-1.1325968716240276,-0.028840297857142858
0.0,-1.730086996835092,-1.5858482877345244,-1.4533652018754262,-1.3333289076522086,-1.2258448781670903,-1.1305209163851544,0.1607053507142857
0.0,-1.7251030948518842,-1.582090887918632,-1.4505771079934584,-1.3312909123394019,-1.2243758921736765,-1.1294756382389937,0.283055485
0.0,-1.7201191928686763,-1.5783299781542899,-1.447783802722573,-1.3292472003538598,-1.2229014095139623,-1.1284254687684767,0.37395860428571426
0.0,-1.7151352908854685,-1.5745655584414973,-1.4449852811968604,-1.3271977610152077,-1.2214214147767468,-1.1273703896797582,0.5040824610714285
0.0,-1.7101513889022606,-1.5707976287802548,-1.4421815385504115,-1.325142583633103,-1.2199358925220511,-1.1263103826277265,0.9818813653571428
0.0,-1.7051674869190527,-1.5670261891705621,-1.4393725699173168,-1.3230816575072353,-1.2184448272810893,-1.1252454292159058,0.9457181971428572
0.0,-1.7001835849358449,-1.5632512396124192,-1.4365583704316667,-1.3210149719273265,-1.216948203556243,-1.124175510996362,1.1933552864285715
0.0,-1.6802479770030136,-1.5481163418953459,-1.4252491666453289,-1.3126904205128551,-1.2109058128550008,-1.1198458192758574,0.8417054385714285
0.0,-1.6752640750198058,-1.5443238425949521,-1.4224087399082626,-1.3105947766597037,-1.2093811632354334,-1.1187507984909228,1.0533065803571429
0.0,-1.670280173036598,-1.5405278333461085,-1.4195630531231855,-1.3084933088815223,-1.2078508615392811,-1.1176507011246564,0.8674980921428571
0.0,-1.6603123690701818,-1.53292528500307,-1.4138558799453596,-1.304272858419895,-1.2047732390873758,-1.1154352013525637,0.8390154982142857
0.0,-1.655328467086974,-1.5291187459088755,-1.4109943838207926,-1.3021538541464428,-1.203225886844055,-1.1143197611682896,1.6702343875
0.0,-1.650344565103766,-1.5253086968662313,-1.4081276081845768,-1.3000289827679474,-1.2016728195489594,-1.1131991688455938,1.1854058067857143
0.0,-1.6353928591541425,-1.5138574900475967,-1.399495555546944,-1.2936190577531397,-1.1969791690417158,-1.1098062885805458,1.5893337471428572
0.0,-1.6304089571709346,-1.5100334012111518,-1.3966076132050398,-1.2914706096555706,-1.1954030830823317,-1.1086648969742705,1.8732394989285712
0.0,-1.6254250551877267,-1.5062058024262563,-1.3937143670219405,-1.2893162402536689,-1.1938212026966024,-1.107518257600825,1.1231508582142857
0.0,-1.620441153204519,-1.5023746936929112,-1.3908158121317364,-1.287155938677674,-1.1922335119219343,-1.1063663511758384,1.4211811025
0.0,-1.6104733492381034,-1.4947019463808697,-1.3850027567663759,-1.2828174954745228,-1.189040635208935,-1.1040466597681577,1.4480389860714287
0.0,-1.6054894472548955,-1.490860307802174,-1.3820882465594013,-1.280639332058006,-1.1874354171988637,-1.1028788359508295,1.666332177857143
0.0,-1.6005055452716876,-1.4870151592750278,-1.3791684081816842,-1.2784551928886756,-1.1858243246563192,-1.1017056674124968,1.2612273596428571
0.0,-1.590537741305272,-1.4793143323753855,-1.3733127274503865,-1.2740689436032087,-1.1825844515071569,-1.099343217915835,2.0363917957142856
